Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,study_id,study type,response,shrub response,location,lat,lon,methods,drivers,driver regime,study species,n_species,study level,comment,source
J,"Wang, JA; Sulla-Menashe, D; Woodcock, CE; Sonnentag, O; Keeling, RF; Friedl, MA",,,,"Wang, Jonathan A.; Sulla-Menashe, Damien; Woodcock, Curtis E.; Sonnentag, Oliver; Keeling, Ralph F.; Friedl, Mark A.",,,Extensive land cover change across Arctic-Boreal Northwestern North America from disturbance and climate forcing,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"A multitude of disturbance agents, such as wildfires, land use, and climate-driven expansion of woody shrubs, is transforming the distribution of plant functional types across Arctic-Boreal ecosystems, which has significant implications for interactions and feedbacks between terrestrial ecosystems and climate in the northern high-latitude. However, because the spatial resolution of existing land cover datasets is too coarse, large-scale land cover changes in the Arctic-Boreal region (ABR) have been poorly characterized. Here, we use 31 years (1984-2014) of moderate spatial resolution (30 m) satellite imagery over a region spanning 4.7 x 10(6) km(2) in Alaska and northwestern Canada to characterize regional-scale ABR land cover changes. We find that 13.6 +/- 1.3% of the domain has changed, primarily via two major modes of transformation: (a) simultaneous disturbance-driven decreases in Evergreen Forest area (-14.7 +/- 3.0% relative to 1984) and increases in Deciduous Forest area (+14.8 +/- 5.2%) in the Boreal biome; and (b) climate-driven expansion of Herbaceous and Shrub vegetation (+7.4 +/- 2.0%) in the Arctic biome. By using time series of 30 m imagery, we characterize dynamics in forest and shrub cover occurring at relatively short spatial scales (hundreds of meters) due to fires, harvest, and climate-induced growth that are not observable in coarse spatial resolution (e.g., 500 m or greater pixel size) imagery. Wildfires caused most of Evergreen Forest Loss and Evergreen Forest Gain and substantial areas of Deciduous Forest Gain. Extensive shifts in the distribution of plant functional types at multiple spatial scales are consistent with observations of increased atmospheric CO2 seasonality and ecosystem productivity at northern high-latitudes and signal continental-scale shifts in the structure and function of northern high-latitude ecosystems in response to climate change.",,,,"Wang, Jonathan/J-3390-2019","Wang, Jonathan/0000-0003-2839-0699; Sulla-Menashe, Damien/0000-0002-0435-6114",,,,,,,,,,,,1354-1013,1365-2486,,,,FEB,2020,26,2,,,,,807,822,,10.1111/gcb.14804,,SEP 2019,,,,,WOS:000486743500001,31437337,,,,09/09/2020,39,empirical,land cover change,cover,"Alaska, US; Yukon, CA",,,remote sensing,disturbance; climate,abiotic,,,community,,WOS search
J,"Busby, RR; Douglas, TA; LeMonte, JJ; Ringelberg, DB; Indest, KJ",,,,"Busby, Ryan R.; Douglas, Thomas A.; LeMonte, Joshua J.; Ringelberg, David B.; Indest, Karl J.",,,Metal accumulation capacity in indigenous Alaska vegetation growing on military training lands,INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,,,,,,,,,,,,"Permafrost thawing could increase soil contaminant mobilization in the environment. Our objective was to quantify metal accumulation capacities for plant species and functional groups common to Alaskan military training ranges where elevated soil metal concentrations were likely to occur. Plant species across multiple military training range sites were collected. Metal content in shoots and roots was compared to soil metal concentrations to calculate bioconcentration and translocation factors. On average, grasses accumulated greater concentrations of Cr, Cu, Ni, Pb, Sb, and Zn relative to forbs or shrubs, and bioconcentrated greater concentrations of Ni and Pb. Shrubs bioconcentrated greater concentrations of Sb. Translocation to shoots was greatest among the forbs. Three native plants were identified as candidate species for use in metal phytostabilization applications. Elymus macrourus, a grass, bioconcentrated substantial concentrations of Cu, Pb, and Zn in roots with low translocation to shoots. Elaeagnus commutata, a shrub, bioconcentrated the greatest amounts of Sb, Ni, and Cr, with a low translocation factor. Solidago decumbens bioconcentrated the greatest amount of Sb among the forbs and translocated the least amount of metals. A combination of forb, shrub, and grass will likely enhance phytostabilization of heavy metals in interior Alaska soils through increased functional group diversity.",,,,,"LeMonte, Joshua/0000-0002-1100-028X",,,,,,,,,,,,1522-6514,1549-7879,,,,FEB 23,2020,22,3,,,,,259,266,,10.1080/15226514.2019.1658708,,SEP 2019,,,,,WOS:000486324800001,31478391,,,,09/09/2020,40,empirical,metal content in plant parts,,,,,,,,,,,,WOS search
J,"Mekonnen, ZA; Riley, WJ; Randerson, JT; Grant, RF; Rogers, BM",,,,"Mekonnen, Zelalem A.; Riley, William J.; Randerson, James T.; Grant, Robert F.; Rogers, Brendan M.",,,Expansion of high-latitude deciduous forests driven by interactions between climate warming and fire,NATURE PLANTS,,,,,,,,,,,,"High-latitude regions have experienced rapid warming in recent decades, and this trend is projected to continue over the twenty-first century(1). Fire is also projected to increase with warming(2,3). We show here, consistent with changes during the Holocene(4), that changes in twenty-first century climate and fire are likely to alter the composition of Alaskan boreal forests. We hypothesize that competition for nutrients after fire in early succession and for light in late succession in a warmer climate will cause shifts in plant functional type. Consistent with observations, our ecosystem model predicts evergreen conifers to be the current dominant tree type in Alaska. However, under future climate and fire, our analysis suggests the relative dominance of deciduous broadleaf trees nearly doubles, accounting for 58% of the Alaska ecosystem's net primary productivity by 2100, with commensurate declines in contributions from evergreen conifer trees and herbaceous plants. Post-fire deciduous broadleaf tree growth under a future climate is sustained from enhanced microbial nitrogen mineralization caused by warmer soils and deeper active layers, resulting in taller trees that compete more effectively for light. The expansion of deciduous broadleaf forests will affect the carbon cycle, surface energy fluxes and ecosystem function, thereby modifying important feedbacks with the climate system.",,,,"Mekonnen, Zelalem/M-7144-2017; Riley, William J/D-3345-2015","Mekonnen, Zelalem/0000-0002-2647-0671; Riley, William J/0000-0002-4615-2304",,,,,,,,,,,,2055-026X,2055-0278,,,,SEP,2019,5,9,,,,,952,958,,10.1038/s41477-019-0495-8,,,,,,,WOS:000485155000013,31451797,,,,09/09/2020,41,modelling,boreal forest composition,,,,,,,,,,,,WOS search
J,"Fujinuma, J; Kusumoto, B; Shiono, T; Kubota, Y",,,,"Fujinuma, Junichi; Kusumoto, Buntarou; Shiono, Takayuki; Kubota, Yasuhiro",,,Species-specific clonality in east Asian island flora: Phylogenetic and environmental constraints,ECOLOGICAL RESEARCH,,,,,,,,,,,,"Plant clonality is a ubiquitous trait observed in many phylogenetic clades and vegetations across tropical to arctic biomes. However, there is no consensus regarding determinant factors of species clonality; especially in the context of species assembly processes, ecological/evolutionary drivers of clonal growth remain largely unknown. To elucidate macroecological drivers of clonality, we examined phylogenetic conservatism/convergence of clonal growth in Japanese vascular plants and explored the ecological role of clonality. We created a dataset of clonal plants that were classified into phalanx, guerrilla and detachable clonal forms for 3,179 species, along with data regarding species geographical distributions and phylogenies. Then, we tested the association of phylogenetic and environmental factors with species clonality for three life-form groups (fern, herb and woody species), and identified explanatory factors of clonal growth along large-scale environmental gradients. Species clonality was phylogenetically constrained; specifically, for herb and woody species, phylogenetic signals across all the clonal growth forms, or especially the detachable form in ferns, were significant. Moreover, clonal growth of Japanese vascular plants was largely explained by taxonomic levels, and also partly by temperature, soil fertility, and species diversity in the distribution range, suggesting both processes; taxon-dependent evolution of vascular plant clonality and evolutionary convergence of clonality across multiple clades of vascular plants relative to environmental constraints. Our findings demonstrated that species-specific clonal growth, which acts as a trait related to abiotic/biotic niche, contributes to shaping large-scale plant diversity patterns through species sorting along abiotic gradients.",,,,"Kusumoto, Buntarou/Y-3896-2018","Kusumoto, Buntarou/0000-0002-5091-3575; Fujinuma, Junichi/0000-0001-9004-4709",,,,,,,,,,,,0912-3814,1440-1703,,,,SEP,2019,34,5,,,,,577,586,,10.1111/1440-1703.12034,,,,,,,WOS:000484665500003,,,,,09/09/2020,42,data study,clonality,,East Asia,,,,,,,,,,WOS search
J,"Hammond, DH; Strand, EK; Hudak, AT; Newingham, BA",,,,"Hammond, Darcy H.; Strand, Eva K.; Hudak, Andrew T.; Newingham, Beth A.",,,"Boreal forest vegetation and fuel conditions 12 years after the 2004 Taylor Complex fires in Alaska, USA",FIRE ECOLOGY,,,,,,,,,,,,"Background Fire has historically been a primary control on succession and vegetation dynamics in boreal systems, although modern changing climate is potentially increasing fire size and frequency. Large, often remote fires necessitate large-scale estimates of fire effects and consequences, often using Landsat satellite-derived dNBR (differenced Normalized Burn Ratio) to estimate burn severity. However, few studies have examined long-term field measures of ecosystem condition in relation to dNBR severity classes in boreal Alaska, USA. The goals of this study were: 1) assess changes in dominant vegetation at plots resampled one and 12 years post fire; 2) use dNBR classes to characterize vegetation and downed woody fuels 12 years post fire; and 3) characterize the relationship between biophysical, topographic, and remotely sensed characteristics (e.g., moss and duff depth, canopy cover, elevation, aspect, dNBR) and understory species assemblages 12 years post fire. Results Understory species richness doubled (from 39 to 73) between 2005 and 2016; some common species increased in cover over time (e.g., Ledum groenlandicum Oeder) while others decreased (e.g., Hylocomium splendens [Hedw.] Schimp.). In 2016, live and dead tree densities, tall shrub cover, and 1- and 100-h woody fuels were significantly different among dNBR classes; moss and duff depth, canopy cover, and spruce seedling density were not. Elevation and aspect significantly influenced tall shrub cover, hardwood sapling density, and downed woody fuel loads. Understory plant communities differed between unburned and all burn classes, as well as between low and high dNBR severity. Ordination analysis showed that overstory (e.g., live tree density), understory (e.g., moss depth, woody fuel loading), and site (elevation, aspect, dNBR) significantly influences understory species assemblages. Conclusion Remeasured sites (sampled one and 12 years post fire) showed recruitment of new understory species and differing, diverse responses to burning by several common plant species. In 2016, low-severity burned sites had generally the highest woody fuel loading, which may increase risk of repeated surface burning, although the reduction in live tree density would still result in decreased fire risk and behavior. Understory community composition correlated with multiple biotic and abiotic factors, including moss depth, canopy cover, elevation, aspect, and dNBR. Overall, our findings can improve landscape-level predictions of ecosystem condition following fire based on dNBR.",,,,"Hammond, Darcy/L-9608-2019","Hammond, Darcy/0000-0003-3200-0833",,,,,,,,,,,,1933-9747,,,,,AUG 26,2019,15,1,,,,,,,32,10.1186/s42408-019-0049-5,,,,,,,WOS:000482767100001,,,,,09/09/2020,43,empirical,vegetation composition; fuel availability,cover,"Central Alaska, US",63.74,-142.26,vegetation surveys,fire intensity,abiotic,,4,community,,WOS search
J,"Roland, CA; Sadoti, G; Nicklen, EF; McAfee, SA; Stehn, SE",,,,"Roland, Carl A.; Sadoti, Giancarlo; Nicklen, E. Fleur; McAfee, Stephanie A.; Stehn, Sarah E.",,,A structural equation model linking past and present plant diversity in Alaska: a framework for evaluating future change,ECOSPHERE,,,,,,,,,,,,"Recent findings of peak plant species diversity occurring in alpine tundra in Alaska may reflect the filtering of the regional species pool during Pleistocene Epoch cold periods. Specifically, herbaceous plant groups and those with far northern geographic distributions centered in Beringia may have persisted coincident with repeated diminution of tall-statured and southern continental plant groups during cold intervals, thus potentially structuring current diversity patterns in relation to elevation. Numerous biotic and abiotic drivers of plant species distributions vary with elevation, raising questions concerning which of these drivers are responsible for these surprising diversity patterns. We used structural equation modeling to investigate relationships among a suite of biotic and abiotic covariates and the richness of species groups based on growth form (GF) and biogeographic affinity across interior Alaska. Our results confirm the primary importance of microclimate in controlling the distribution, abundance, and richness of woody plants, which increased in warm, south-exposed plots. In contrast, the suite of other site factors had considerably stronger combined direct influences on richness of forbs, graminoids, and dwarf shrubs as compared to microclimate. Thus, species groups with negative richness responses to increasing temperature and potential solar radiation may have a competitive disadvantage to woody species, suggesting competitive displacement as one mechanism for these patterns. Our findings reveal that conditions associated with the high plant diversity (including cooler air temperatures, ground disturbance, and weakly acidic soil pH) are spatially restricted as compared to widespread conditions associated with low species diversity (warm lowlands with acidic soil reaction). Our results confirm a strong correspondence between localized richness patterns and variation in the overall fractions of the GF and biogeographic groups within the regional species pool. Our work suggests important links between current and historical drivers of plant diversity that help explain the apparent contradictions suggested by the relatively limited spatial extent of species-rich habitats in Alaska. By elucidating the relationships among biotic and abiotic site characteristics and between these characteristics and richness, our findings provide a useful framework within which to evaluate possible changes to vegetation structure and species richness patterns caused by rapid warming.",,,,"Sadoti, Giancarlo/A-3138-2011","Sadoti, Giancarlo/0000-0003-3191-8167",,,,,,,,,,,,2150-8925,,,,,AUG,2019,10,8,,,,,,,e02832,10.1002/ecs2.2832,,,,,,,WOS:000483832300022,,,,,09/09/2020,44,empirical / modelling,species diversity,species richness,"Alaska, US",65.04,-141.05,vegetation surveys; SEM,temperature; elevation; slope; EQ; soil depth; soil PH; site moisture; ground disturbance; canopy cover; tree BA,biotic; abiotic,,unknown,community,,WOS search
J,"Mosbacher, JB; Michelsen, A; Stelvig, M; Hjermstad-Sollerud, H; Schmidt, NM",,,,"Mosbacher, Jesper Bruun; Michelsen, Anders; Stelvig, Mikkel; Hjermstad-Sollerud, Havard; Schmidt, Niels Martin",,,"Muskoxen Modify Plant Abundance, Phenology, and Nitrogen Dynamics in a High Arctic Fen",ECOSYSTEMS,,,,,,,,,,,,"Herbivores are key drivers of vegetation dynamics in most ecosystems. However, the effect of high arctic herbivores on vegetation dynamics throughout a growing season is not well understood. In this study, we examine the impacts of a large dominant herbivore in the tundra ecosystem, the muskox, Ovibos moschatus, using exclosures established in a fen in high Arctic Greenland. Using weekly sampling throughout the growing season, we quantified the effects of muskox exclusion on aboveground plant biomass and on concentrations and pools of carbon and nitrogen, and explored the timing of peak biomass and nutrient pools. Excluding muskoxen profoundly changed plant abundances and dynamics of the fen, with more than a doubling of aboveground plant biomass and carbon and nitrogen pool sizes. Specifically, large increases in mosses and litter were observed, while graminoid biomass did not change significantly with exclusion of muskoxen. Excluding muskoxen advanced the peak of plant biomass, but also led to a more rapid decline, resulting in an earlier and shorter period of maximal plant biomass inside the exclosures. The largest impact of muskoxen on the arctic fen ecosystem seems to be through their trampling effects on the moss layer, which likely mediated most of the observed changes. This study demonstrates how quickly an ecosystem may respond to changes in the abundance of large herbivores and highlights their pivotal role in modifying vegetation dynamics and nutrient cycling in tundra ecosystems.",,,,"; Michelsen, Anders/L-5279-2014","Stelvig, Mikkel/0000-0002-2272-7492; Michelsen, Anders/0000-0002-9541-8658",,,,,,,,,,,,1432-9840,1435-0629,,,,AUG,2019,22,5,,,,,1095,1107,,10.1007/s10021-018-0323-4,,,,,,,WOS:000480546800012,,,,,09/09/2020,45,empirical,plant biomass; nutrient pools; peak phenology,,"Zackenberg, GL",,,,,,,,,,WOS search
J,"Ylanne, H; Stark, S",,,,"Ylanne, Henni; Stark, Sari",,,Distinguishing Rapid and Slow C Cycling Feedbacks to Grazing in Sub-arctic Tundra,ECOSYSTEMS,,,,,,,,,,,,"Large grazers are known to affect ecosystem functioning even to the degree where ecosystems transition to another vegetation state. Alongside the vegetation change, several features of ecosystem functioning, such as ecosystem carbon sink capacity and soil carbon mineralisation rates, may be altered. It has remained largely uninvestigated how the grazing effects on carbon cycling processes depend on the duration of grazing. Here, we hypothesised that grazing affects ecosystem carbon sink through plant-driven processes (for example, photosynthesis) on shorter time-scales, whereas on longer time-scales changes in soil-driven processes (for example, microbial activity) become more important contributing to a decreased carbon sink capacity. To test this hypothesis, we investigated key processes behind ecosystem carbon cycling in an area that recently had become dominated by graminoids due to a high reindeer grazing intensity and compared these to the processes in an area of decades old grazing-induced graminoid dominance and in an area of shrub dominance with little grazer influence. In contrast to our hypothesis, areas of both old and recent grassification showed a similar carbon sink capacity. Yet the individual fluxes varied depending on the time passed since the vegetation shift: ecosystem respiration and mid-season photosynthesis were higher under old than recent grassification. In contrast, the extracellular enzyme activities for carbon and phosphorus acquisition were similar regardless of the time elapsed since grazer-induced vegetation change. These results provide novel understanding on how ecosystem processes develop over time in response to changes in the intensity of herbivory. Moreover, they indicate that both autotrophic and heterotrophic processes are controlled through multiple drivers that likely change depending on the duration of herbivory.",,,,"Ylanne, Henni/I-1579-2019","Ylanne, Henni/0000-0002-0842-6757",,,,,,,,,,,,1432-9840,1435-0629,,,,AUG,2019,22,5,,,,,1145,1159,,10.1007/s10021-018-0329-y,,,,,,,WOS:000480546800015,,,,,09/09/2020,46,empirical,carbon sink capacity,,"Raisduoddar, NO",,,,,,,,,,WOS search
J,"Scharnagl, K; Johnson, D; Ebert-May, D",,,,"Scharnagl, Klara; Johnson, David; Ebert-May, Diane",,,"Shrub expansion and alpine plant community change: 40-year record from Niwot Ridge, Colorado",PLANT ECOLOGY & DIVERSITY,,,,,,,,,,,,"Background: Alpine and arctic tundra are particularly sensitive ecosystems to the impacts of global climate change. Yet, warming studies versus observational studies in these ecosystems yield different and sometimes conflicting results. Many short-term changes may be phenotypic responses to warming rather than shifts at the community level. Aims: We posit that long-term monitoring of permanently marked plots provides data for making predictions of the impact of climate change on alpine tundra communities. Methods: We surveyed plant community composition and cover at four sampling time points over a forty-year span (1971-2011). Results: We observed an expansion of shrub cover, both within the shrub tundra and encroaching into moist and dry meadow communities. This shrub cover expansion coincides with increased litter and decreased species richness at the plot level. Overall, despite some shifts in functional group cover and species richness, plant community composition remained mostly intact across forty years. Conclusions: Our results corroborate with other published studies demonstrating the rapid expansion and impacts of woody shrubs in tundra ecosystems. This study demonstrates a surprising resistance of alpine tundra plant communities under current global climate change over a 40-year period. Additional studies are needed to disentangle the many potential drivers that explain plant community shifts and community stability.",,,,,,,,,,,,,,,,,1755-0874,1755-1668,,,,,,,,,,,,,,,10.1080/17550874.2019.1641757,,JUL 2019,,,,,WOS:000479446300001,,,,,09/09/2020,47,empirical,community composition,cover,"Colorado, US",,,,,,,,,,WOS search
J,"Matesanz, S; Ramirez-Valiente, JA",,,,"Matesanz, Silvia; Alberto Ramirez-Valiente, Jose",,,A review and meta-analysis of intraspecific differences in phenotypic plasticity: Implications to forecast plant responses to climate change,GLOBAL ECOLOGY AND BIOGEOGRAPHY,,,,,,,,,,,,"Aim Many studies use differences among plant populations to infer future plant responses, but these predictions will provide meaningful insights only if patterns of plasticity among populations are similar (i.e., in the absence of population-by-environment interaction, P x E). In this study, we tested whether P x E is considered in climate change studies. Specifically, we evaluated whether population differentiation varies across environments and whether P x E is determined by aspects of the study system and experimental design. Location Global. Methods We conducted a literature search in the Thomson Reuters Web of Science database to identify studies assessing population differentiation in a climate change context. We quantified the occurrence of P x E and performed a meta-analysis to calculate the percentage of traits showing P x E in the study cases. Results We identified 309 study cases (from 237 published articles) assessing population differentiation in 172 plant species, of which 64% included more than one test environment and tested P x E. In 77% of these studies, P x E was significant for at least one functional trait. The overall proportion of traits showing P x E was 33.4% (95% confidence interval 27.7-39.3). These results were generally consistent across life-forms, ecoregions and type of experiment. Furthermore, population differentiation varied across test environments in 76% of cases. The overall proportion of traits showing environment-dependent population differentiation was 53.7% (95% confidence interval 37.9-69.3). Conclusions Our findings revealed that differences in phenotypic plasticity among populations are common but are usually neglected in order to forecast population responses to climate change. Future studies should assess population differentiation in many test environments (accounting for P x E) that realistically reflect future environmental conditions, assessing climate change drivers that are rarely considered (e.g., multifactor experiments incorporating higher CO2 levels). Our review also revealed the predominant focus of population studies on trees from temperate climates, identifying underexplored life-forms (shrubs, annuals), phylogenetic groups (ferns, ancient gymnosperms) and ecoregions (tropical, arctic) that should receive more attention in future.",,,,"Matesanz, Silvia/L-5153-2014","Matesanz, Silvia/0000-0003-0060-6136",,,,,,,,,,,,1466-822X,1466-8238,,,,NOV,2019,28,11,,,,,1682,1694,,10.1111/geb.12972,,JUL 2019,,,,,WOS:000476344800001,,,,,09/09/2020,48,review / meta-analysis,phenotypic plasticity,,,,,,,,,,,,WOS search
J,"Ruess, RW; Swanson, MM; Kielland, K; McFarland, JW; Olson, KD; Taylor, DL",,,,"Ruess, Roger W.; Swanson, Michaela M.; Kielland, Knut; McFarland, Jack W.; Olson, Karl D.; Taylor, D. Lee",,,Phosphorus Mobilizing Enzymes of Alnus-Associated Ectomycorrhizal Fungi in an Alaskan Boreal Floodplain,FORESTS,,,,,,,,,,,,"Because of its high phosphorus (P) demands, it is likely that the abundance, distribution, and N-fixing capacity of Alnus in boreal forests are tightly coupled with P availability and the mobilization and uptake of soil P via ectomycorrhizal fungi (EMF). We examined whether Alnus shifts EMF communities in coordination with increasingly more complex organic P forms across a 200-year-old successional sequence along the Tanana River in interior Alaska. Root-tip activities of acid phosphatase, phosphodiesterase, and phytase of A. tenuifolia-associated EMF were positively intercorrelated but did not change in a predictable manner across the shrub, to hardwood to coniferous forest successional sequence. Approximately half of all Alnus roots were colonized by Alnicola and Tomentella taxa, and ordination analysis indicated that the EMF community on Alnus is a relatively distinct, host-specific group. Despite differences in the activities of the two Alnus dominants to mobilize acid phosphatase and phosphodiesterase, the root-tip activities of P-mobilizing enzymes of the Alnus-EMF community were not dramatically different from other co-occurring boreal plant hosts. This suggests that if Alnus has a greater influence on P cycling than other plant functional types, additional factors influencing P mobilization and uptake at the root and / or whole-plant level must be involved.",,,,,,,,,,,,,,,,,,1999-4907,,,,JUL,2019,10,7,,,,,,,554,10.3390/f10070554,,,,,,,WOS:000482080800073,,,,,09/09/2020,49,empirical,AMF community composition,,,,,,,,,,,,WOS search
J,"Wojtun, B; Polechonska, L; Pech, P; Mielcarska, K; Samecka-Cymerman, A; Szymanski, W; Kolon, M; Kopec, M; Stadnik, K; Kempers, AJ",,,,"Wojtun, Bronislaw; Polechonska, Ludmila; Pech, Pawel; Mielcarska, Kinga; Samecka-Cymerman, Aleksandra; Szymanski, Wojciech; Kolon, Maria; Kopec, Marcin; Stadnik, Kornelia; Kempers, Alexander J.",,,"Sanionia uncinata and Salix polaris as bioindicators of trace element pollution in the High Arctic: a case study at Longyearbyen, Spitsbergen, Norway",POLAR BIOLOGY,,,,,,,,,,,,"Longyearbyen (Spitsbergen) is influenced by local contamination sources, such as exhausts from power plants, traffic, coal mines, and industrial waste dumps subject to weathering, which threatens soil and living organisms. Therefore, the trace element level in this area needs to be evaluated. The moss Sanionia uncinata and prostrate dwarf-shrub Salix polaris were collected as contamination indicators. Concentrations of Cd, Co, Cr, Cu, Fe, Hg, Mn, Ni, Pb, and Zn in these species were measured. The tested hypotheses were: in Longyearbyen and its vicinity (1) the moss S. uncinata and the willow S. polaris may be used as phytoaccumulatorsand therefore as bioindicators and bioremediators of certain trace elements; (2) the moss S. uncinatacontains higher concentrations of metals than the willow S. polaris. The soil of Longyearbyen was contaminated with Cd, Co, Cu, Ni, Pb, and Zn. The willow S. polaris may be used in phytoaccumulationand therefore in the bioremediation and bioindication of Cd and Zn from its environment. Stems of S. polaris from Longyearbyen are better bioindicators of Cr, Cu, Hg, Ni, and Pb and poorer bioindicators of Cd, Mn, and Zn than leaves of this species. S. polaris (both stems and leaves) was a better bioindicator of Cd and Zn concentrations than green gametophytes of S. uncinata. S. uncinata was a better bioindicator of Co, Cr, Cu, Fe, Hg, Mn, Ni, and Pb than S. polaris.",,,,,"Kolon-Jaremczak, Maria/0000-0002-1820-3549; Polechonska, Ludmila/0000-0003-0937-5127; Mielcarska, Kinga/0000-0001-8628-9586",,,,,,,,,,,,0722-4060,1432-2056,,,,JUL,2019,42,7,,,,,1287,1297,,10.1007/s00300-019-02517-0,,,,,,,WOS:000475570000005,,,,,09/09/2020,50,empirical,contaminant concentration,,,,,,,,,,,,WOS search
J,"Lokken, JO; Hofgaard, A; Dalen, L; Hytteborn, H",,,,"Lokken, Jorn Olav; Hofgaard, Annika; Dalen, Linda; Hytteborn, Hakan",,,Grazing and warming effects on shrub growth and plant species composition in subalpine dry tundra: An experimental approach,JOURNAL OF VEGETATION SCIENCE,,,,,,,,,,,,"Questions Vegetation in the forest-tundra ecotone faces changes in both climate and land-use. While climate warming is an important driver of vegetation growth and composition, herbivory may have opposing effects. In the present study, we experimentally test how removal of sheep herbivory affects the vegetation in an alpine forest-tundra ecotone, and how responses are manifested at higher temperatures. Location Dovre Mountains, Central Norway. Methods Shrub growth (height and cover) and ground layer composition were analysed each third year over an 18-year period in a nested, three-factorial experiment (ambient temperature and herbivory; ambient temperature and no herbivory; increased temperature and no herbivory). Fencing and open-top-chambers were used as expedients. Treatment effects and interactions over time were analysed using linear mixed effects models and ordination. Results Shrub height and cover increased over time due to reduced herbivory, but without additional warming effect. Lichen cover declined in all treatments over time, but more rapidly and earlier under warming treatment (significant after three years). Contrary to expectations, there was no statistically significant increase in woody species due to warming, although evergreen woody species displayed a trend shift after six years, comprising a sharp decline towards year twelve. Litter accumulated in all treatments, but at higher rates under warming (significant after nine years). Conclusions Our results disclose removal of sheep herbivory as a prominent driver of shrub growth, with warming as a subordinate driver in the studied alpine vegetation. The warming-driven increased litter abundance may, however, be caused by the decrease of wind inside chambers and the subsequent absence of wind-driven removal of litter. This chamber effect and the displayed timing differences in vegetation responses call for the critical use of short-term experimental data in predictions of long-term consequences of environmental change.",,,,"Lokken, Jorn Olav/AAD-2256-2020","Lokken, Jorn Olav/0000-0003-1024-0406",,,,,,,,,,,,1100-9233,1654-1103,,,,JUL,2019,30,4,,,,,698,708,,10.1111/jvs.12752,,,,,,,WOS:000474629200011,,,,,09/09/2020,51,empirical,shrub growth; species composition,growth; cover,"Dovrefjell, NO",62.3,9.62,vegetation surveys; herbivore exclusion,temperature; herbivory,biotic; abiotic,,,community,,WOS search
